FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES004A,13,PwrUpSeq.c,PwrUpSeqPer1,205-271,I,""
ES004A,81,PwrUpSeq.c,PwrUpSeqPer1,240,I,""
ES004A,63,PwrUpSeq.c,PwrUpSeqPer1,216,I,""
ES004A,55,PwrUpSeq.c,PwrUpSeqPer1,215-252,I,""
ES004A,84,PwrUpSeq.c,PwrUpSeqPer1,263,I,""
ES004A,62,PwrUpSeq.c,PwrUpSeqPer1,255,I,""
ES004A,105,PwrUpSeq.c,PwrUpSeqPer1,249,I,""
ES004A,77,PwrUpSeq.c,PwrUpSeqPer1,222,I,""
ES004A,88,PwrUpSeq.c,"N/A,PwrUpSeqPer1","72,231",I,""
ES004A,89,PwrUpSeq.c,"N/A,PwrUpSeqPer1","73,237",I,""
ES004A,110,PwrUpSeq.c,PwrUpSeqPer1,253,I,""
ES004A,83,PwrUpSeq.c,PwrUpSeqPer1,246,I,""
ES004A,91,PwrUpSeq.c,"N/A,PwrUpSeqPer1","75,210,258",I,""
ES004A,90,PwrUpSeq.c,"N/A,PwrUpSeqPer1","74,243",I,""
ES004A,92,PwrUpSeq.c,"N/A,PwrUpSeqPer1","76,267",I,""
ES004A,86,PwrUpSeq.c,"N/A,PwrUpSeqPer1","70,219",I,""
ES004A,87,PwrUpSeq.c,"N/A,PwrUpSeqPer1","71,225",I,""
ES004A,79,PwrUpSeq.c,PwrUpSeqPer1,234,I,""
ES004A,78,PwrUpSeq.c,PwrUpSeqPer1,228,I,""
