FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES200A,215,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1577,1581,1625,156,166",I,""
ES200A,213,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1570,1577,1581,1619,1625,145",I,""
ES200A,132,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer3,CurrMeasPer2","1570,1577,1581,1619,1625,156,166,181,189",I,""
ES200A,135,"CDD_CurrMeas.c,CDD_CurrMeas_MotCtrl.c","CurrMeasPer1,CurrMeasPer2","1309-1462,121-210",I,""
ES200A,138,CDD_CurrMeas.c,SigMaxMinOffs,"1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801",I,""
ES200A,223,CDD_CurrMeas.c,CurrMeasPer3,"1588,1595,1599,1637,1643",I,""
ES200A,289,CDD_CurrMeas.c,CurrMeasPer3,1555,I,""
ES200A,288,CDD_CurrMeas.c,CurrMeasPer3,1554,I,""
ES200A,97,CDD_CurrMeas.c,CurrMeasPer3,1678,I,""
ES200A,281,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,133,I,""
ES200A,280,CDD_CurrMeas.c,"CurrMeasOffsReadReq_Oper,CurrMeasOffsWrReq_Oper","1112-1126,1165-1214",I,""
ES200A,283,CDD_CurrMeas.c,CurrMeasPer3,1556,I,""
ES200A,282,CDD_CurrMeas.c,CurrMeasPer3,1557,I,""
ES200A,285,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,202,I,""
ES200A,284,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,201,I,""
ES200A,287,CDD_CurrMeas.c,CurrMeasPer1,1296,I,""
ES200A,286,CDD_CurrMeas.c,CurrMeasPer1,1303,I,""
ES200A,262,CDD_CurrMeas.c,SigMaxMinGain,1838-1930,I,""
ES200A,260,CDD_CurrMeas.c,"SigMaxMinGain,PerformGainCalibration","1911,1916,1926,2132",I,""
ES200A,267,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,"171,195",I,""
ES200A,266,CDD_CurrMeas.c,"SigMaxMinGain,PerformGainCalibration","1926,2132",I,""
ES200A,264,CDD_CurrMeas.c,"SigMaxMinOffs,SigMaxMinGain","1811,1851-1865,1918,1924,1925",I,""
ES200A,269,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,321-377,I,""
ES200A,91,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,128,I,""
ES200A,298,CDD_CurrMeas.c,PerformGainCalibration,1981-2135,I,""
ES200A,299,CDD_CurrMeas.c,SigMaxMinGain,1874-1888,I,""
ES200A,296,CDD_CurrMeas.c,SigMaxMinOffs,1752-1773,I,""
ES200A,297,CDD_CurrMeas.c,CurrMeasPer1,1311-1460,I,""
ES200A,290,CDD_CurrMeas.c,CurrMeasPer3,1564,I,""
ES200A,291,CDD_CurrMeas.c,"CurrMeasGainReadReq_Oper,CurrMeasGainWrReq_Oper","967,974,1013-1042",I,""
ES200A,146,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,424-482,I,""
ES200A,147,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,423-481,I,""
ES200A,312,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,320-376,I,""
ES200A,311,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdABC,319-375,I,""
ES200A,310,CDD_CurrMeas_MotCtrl.c,CalMotCurrCorrdDEF,427-485,I,""
ES200A,270,CDD_CurrMeas_MotCtrl.c,CurrMeasPer2,150,I,""
