FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
ES247A,66,CDD_MotAgCmp.c,MotAgCmpPer2,271,I,""
ES247A,48,CDD_MotAgCmp_MotCtrl.c,N/A,"51,57,60,80",I,""
ES247A,49,CDD_MotAgCmp.c,MotAgCmpPer2,"262,263",I,""
ES247A,32,CDD_MotAgCmp.c,MotAgCmpBackEmfWr_Oper,212-216,I,""
ES247A,51,CDD_MotAgCmp_MotCtrl.c,N/A,52,I,""
ES247A,53,CDD_MotAgCmp_MotCtrl.c,N/A,50,I,""
ES247A,52,CDD_MotAgCmp_MotCtrl.c,N/A,75,I,""
ES247A,77,CDD_MotAgCmp.c,MotAgCmpPer2,255-273,I,""
ES247A,75,CDD_MotAgCmp_MotCtrl.c,N/A,42-83,I,""
ES247A,65,CDD_MotAgCmp.c,MotAgCmpPer2,270,I,""
ES247A,71,CDD_MotAgCmp.c,MotAgCmpBackEmfRead_Oper,164-166,I,""
ES247A,67,CDD_MotAgCmp_MotCtrl.c,N/A,48-53,I,""
ES247A,82,CDD_MotAgCmp.c,MotAgCmpPer2,268,I,""
ES247A,83,CDD_MotAgCmp_MotCtrl.c,N/A,"48-53,56-76",I,""
ES247A,80,CDD_MotAgCmp_MotCtrl.c,N/A,56-76,I,""
ES247A,81,CDD_MotAgCmp.c,MotAgCmpPer2,261-273,I,""
ES247A,69,CDD_MotAgCmp_MotCtrl.c,N/A,"56-76,78",I,""
