FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF051A,216,SnsrOffsLrng.c,RstHwTq_Oper,517-548,I,""
SF051A,217,SnsrOffsLrng.c,GetYawRateOffs_Oper,468-471,I,""
SF051A,214,SnsrOffsLrng.c,GetHwAgOffs_Oper,404-407,I,""
SF051A,215,SnsrOffsLrng.c,SetHwAgOffs_Oper,646-664,I,""
SF051A,212,SnsrOffsLrng.c,GetHwTqOffs_Oper,436-439,I,""
SF051A,213,SnsrOffsLrng.c,SetHwTqOffs_Oper,710-746,I,""
SF051A,210,SnsrOffsLrng.c,SnsrOffsLrngInit1,841-963,I,""
SF051A,211,SnsrOffsLrng.c,RstYawAndAg_Oper,587-607,I,""
SF051A,218,SnsrOffsLrng.c,SetYawRateOffs_Oper,786,I,""
SF051A,164,SnsrOffsLrng.c,EnableYOC_Cnt_T_logl,1711-1859,I,""
SF051A,136,SnsrOffsLrng.c,EnableYOC_Cnt_T_logl,1588,I,""
SF051A,135,SnsrOffsLrng.c,EnableYOC_Cnt_T_logl,1588,I,""
SF051A,134,SnsrOffsLrng.c,EnableYOC_Cnt_T_logl,1600,I,""
SF051A,139,SnsrOffsLrng.c,LearnHwAg,1528,I,""
SF051A,166,SnsrOffsLrng.c,EnableYOC_Cnt_T_logl,1732,I,""
SF051A,26,SnsrOffsLrng.c,"SnsrOffsLrngInit1,SnsrOffsLrngPer2,EnableYOC_Cnt_T_logl","889-955,1292,1700-1888",I,""
SF051A,160,SnsrOffsLrng.c,SnsrOffsLrngPer1,1045-1050,I,""
SF051A,28,SnsrOffsLrng.c,SnsrOffsLrngPer2,"1298,1318",I,""
SF051A,29,SnsrOffsLrng.c,SnsrOffsLrngPer2,1303,I,""
SF051A,97,SnsrOffsLrng.c,SnsrOffsLrngPer2,1338,I,""
SF051A,163,SnsrOffsLrng.c,SnsrOffsLrngPer1,1044,I,""
SF051A,120,SnsrOffsLrng.c,LearnHwAg,"1449,1464",I,""
SF051A,122,SnsrOffsLrng.c,LearnHwAg,1465,I,""
SF051A,123,SnsrOffsLrng.c,LearnHwAg,1448,I,""
SF051A,125,SnsrOffsLrng.c,SnsrOffsLrngPer2,1384-1401,I,""
SF051A,126,SnsrOffsLrng.c,SnsrOffsLrngPer2,1383,I,""
SF051A,127,SnsrOffsLrng.c,SnsrOffsLrngPer2,1404,I,""
SF051A,58,SnsrOffsLrng.c,SetYawRateOffs_Oper,785-797,I,""
SF051A,195,SnsrOffsLrng.c,SnsrOffsLrngPer1,1159-1181,I,""
SF051A,194,SnsrOffsLrng.c,SnsrOffsLrngPer1,1159-1181,I,""
SF051A,191,SnsrOffsLrng.c,SnsrOffsLrngPer1,1152,I,""
SF051A,190,SnsrOffsLrng.c,KVect_Uls_T_f32,2057,I,""
SF051A,115,SnsrOffsLrng.c,LearnHwAg,1477,I,""
SF051A,88,SnsrOffsLrng.c,SnsrOffsLrngPer2,1313,I,""
SF051A,89,SnsrOffsLrng.c,SnsrOffsLrngPer2,1307,I,""
SF051A,111,SnsrOffsLrng.c,SnsrOffsLrngPer2,1326,I,""
