FDD, ID, Source, Function, Line(s), Status, Comment
, , .SwFileName, .SwFuncName, .SwLines, .SwStatus, .SwComment
SF104A,91,MotCurrRegCfg.c,MotCurrRegCfgPer1,320-325,I,""
SF104A,88,MotCurrRegCfg.c,MotCurrRegCfgPer1,404,I,""
SF104A,86,MotCurrRegCfg.c,MotCurrRegCfgPer1,405-423,I,""
SF104A,118,MotCurrRegCfg.c,MotCurrRegCfgPer1,"419,420",I,""
SF104A,84,MotCurrRegCfg.c,MotCurrRegCfgPer1,330-427,I,""
SF104A,85,MotCurrRegCfg.c,MotCurrRegCfgPer1,334-341,I,""
SF104A,27,MotCurrRegCfg.c,MotCurrRegCfgPer1,307,I,""
SF104A,49,MotCurrRegCfg.c,MotCurrRegCfgPer1,451,I,""
SF104A,46,MotCurrRegCfg.c,MotCurrRegCfgPer1,304,I,""
SF104A,47,MotCurrRegCfg.c,MotCurrRegCfgPer1,305,I,""
SF104A,44,MotCurrRegCfg.c,MotCurrRegCfgPer1,302,I,""
SF104A,45,MotCurrRegCfg.c,MotCurrRegCfgPer1,306,I,""
SF104A,28,MotCurrRegCfg.c,MotCurrRegCfgPer1,450,I,""
SF104A,43,MotCurrRegCfg.c,MotCurrRegCfgPer1,308,I,""
SF104A,119,MotCurrRegCfg.c,MotCurrRegCfgPer1,303,I,""
SF104A,77,MotCurrRegCfg.c,MotCurrRegCfgPer1,352-384,I,""
SF104A,76,MotCurrRegCfg.c,MotCurrRegCfgPer1,353-383,I,""
SF104A,74,MotCurrRegCfg.c,MotCurrRegCfgPer1,436-440,I,""
SF104A,71,MotCurrRegCfg.c,MotCurrRegCfgPer1,437-441,I,""
SF104A,102,MotCurrRegCfg.c,MotCurrRegCfgPer1,347-425,I,""
SF104A,95,MotCurrRegCfg.c,MotCurrRegCfgPer1,319-324,I,""
SF104A,94,MotCurrRegCfg.c,MotCurrRegCfgPer1,318-323,I,""
SF104A,79,MotCurrRegCfg.c,MotCurrRegCfgPer1,"331,390-396",I,""
SF104A,78,MotCurrRegCfg.c,MotCurrRegCfgPer1,346-398,I,""
SF104A,120,MotCurrRegCfg.c,MotCurrRegCfgPer1,301,I,""
SF104A,55,MotCurrRegCfg.c,MotCurrRegCfgPer1,445,I,""
SF104A,54,MotCurrRegCfg.c,MotCurrRegCfgPer1,447,I,""
SF104A,57,MotCurrRegCfg.c,"MotCurrRegCfgInit1,MotCurrRegCfgPer1","219-221,310-315",I,""
SF104A,51,MotCurrRegCfg.c,MotCurrRegCfgPer1,448,I,""
SF104A,36,MotCurrRegCfg.c,MotCurrRegCfgPer1,300-452,I,""
SF104A,53,MotCurrRegCfg.c,MotCurrRegCfgPer1,446,I,""
SF104A,52,MotCurrRegCfg.c,MotCurrRegCfgPer1,449,I,""
